text_number,language,url,timestamp,source,question_score
0,en,https://apple.stackexchange.com/questions/1,2023/3/29,stackexchange,16
1,en,https://apple.stackexchange.com/questions/2,2023/3/29,stackexchange,9
2,en,https://apple.stackexchange.com/questions/3,2023/3/29,stackexchange,8
3,en,https://apple.stackexchange.com/questions/4,2023/3/29,stackexchange,5
4,en,https://apple.stackexchange.com/questions/5,2023/3/29,stackexchange,24
5,en,https://apple.stackexchange.com/questions/10,2023/3/29,stackexchange,8
6,en,https://apple.stackexchange.com/questions/11,2023/3/29,stackexchange,57
7,en,https://apple.stackexchange.com/questions/12,2023/3/29,stackexchange,8
8,en,https://apple.stackexchange.com/questions/16,2023/3/29,stackexchange,3
9,en,https://apple.stackexchange.com/questions/19,2023/3/29,stackexchange,4
10,en,https://apple.stackexchange.com/questions/21,2023/3/29,stackexchange,1
11,en,https://apple.stackexchange.com/questions/28,2023/3/29,stackexchange,1
12,en,https://apple.stackexchange.com/questions/30,2023/3/29,stackexchange,28
13,en,https://apple.stackexchange.com/questions/33,2023/3/29,stackexchange,9
14,en,https://apple.stackexchange.com/questions/34,2023/3/29,stackexchange,13
15,en,https://apple.stackexchange.com/questions/35,2023/3/29,stackexchange,3
16,en,https://apple.stackexchange.com/questions/40,2023/3/29,stackexchange,6
17,en,https://apple.stackexchange.com/questions/44,2023/3/29,stackexchange,3
18,en,https://apple.stackexchange.com/questions/47,2023/3/29,stackexchange,4
19,en,https://apple.stackexchange.com/questions/48,2023/3/29,stackexchange,13
20,en,https://apple.stackexchange.com/questions/53,2023/3/29,stackexchange,13
21,en,https://apple.stackexchange.com/questions/54,2023/3/29,stackexchange,83
22,en,https://apple.stackexchange.com/questions/56,2023/3/29,stackexchange,8
23,en,https://apple.stackexchange.com/questions/61,2023/3/29,stackexchange,10
24,en,https://apple.stackexchange.com/questions/64,2023/3/29,stackexchange,183
25,en,https://apple.stackexchange.com/questions/76,2023/3/29,stackexchange,5
26,en,https://apple.stackexchange.com/questions/82,2023/3/29,stackexchange,180
27,en,https://apple.stackexchange.com/questions/89,2023/3/29,stackexchange,3
28,en,https://apple.stackexchange.com/questions/90,2023/3/29,stackexchange,3
29,en,https://apple.stackexchange.com/questions/95,2023/3/29,stackexchange,5
30,en,https://apple.stackexchange.com/questions/97,2023/3/29,stackexchange,3
31,en,https://apple.stackexchange.com/questions/99,2023/3/29,stackexchange,9
32,en,https://apple.stackexchange.com/questions/104,2023/3/29,stackexchange,77
33,en,https://apple.stackexchange.com/questions/105,2023/3/29,stackexchange,6
34,en,https://apple.stackexchange.com/questions/106,2023/3/29,stackexchange,6
35,en,https://apple.stackexchange.com/questions/110,2023/3/29,stackexchange,3
36,en,https://apple.stackexchange.com/questions/113,2023/3/29,stackexchange,6
37,en,https://apple.stackexchange.com/questions/117,2023/3/29,stackexchange,7
38,en,https://apple.stackexchange.com/questions/118,2023/3/29,stackexchange,3
39,en,https://apple.stackexchange.com/questions/122,2023/3/29,stackexchange,11
40,en,https://apple.stackexchange.com/questions/126,2023/3/29,stackexchange,3
41,en,https://apple.stackexchange.com/questions/134,2023/3/29,stackexchange,7
42,en,https://apple.stackexchange.com/questions/141,2023/3/29,stackexchange,51
43,en,https://apple.stackexchange.com/questions/142,2023/3/29,stackexchange,3
44,en,https://apple.stackexchange.com/questions/146,2023/3/29,stackexchange,5
45,en,https://apple.stackexchange.com/questions/149,2023/3/29,stackexchange,11
46,en,https://apple.stackexchange.com/questions/151,2023/3/29,stackexchange,38
47,en,https://apple.stackexchange.com/questions/152,2023/3/29,stackexchange,4
48,en,https://apple.stackexchange.com/questions/153,2023/3/29,stackexchange,0
49,en,https://apple.stackexchange.com/questions/156,2023/3/29,stackexchange,11
50,en,https://apple.stackexchange.com/questions/158,2023/3/29,stackexchange,0
51,en,https://apple.stackexchange.com/questions/162,2023/3/29,stackexchange,7
52,en,https://apple.stackexchange.com/questions/164,2023/3/29,stackexchange,3
53,en,https://apple.stackexchange.com/questions/173,2023/3/29,stackexchange,5
54,en,https://apple.stackexchange.com/questions/174,2023/3/29,stackexchange,5
55,en,https://apple.stackexchange.com/questions/175,2023/3/29,stackexchange,5
56,en,https://apple.stackexchange.com/questions/183,2023/3/29,stackexchange,59
57,en,https://apple.stackexchange.com/questions/187,2023/3/29,stackexchange,34
58,en,https://apple.stackexchange.com/questions/198,2023/3/29,stackexchange,2
59,en,https://apple.stackexchange.com/questions/208,2023/3/29,stackexchange,2
60,en,https://apple.stackexchange.com/questions/225,2023/3/29,stackexchange,1
61,en,https://apple.stackexchange.com/questions/227,2023/3/29,stackexchange,-1
62,en,https://apple.stackexchange.com/questions/229,2023/3/29,stackexchange,2
63,en,https://apple.stackexchange.com/questions/230,2023/3/29,stackexchange,3
64,en,https://apple.stackexchange.com/questions/232,2023/3/29,stackexchange,4
65,en,https://apple.stackexchange.com/questions/245,2023/3/29,stackexchange,50
66,en,https://apple.stackexchange.com/questions/246,2023/3/29,stackexchange,10
67,en,https://apple.stackexchange.com/questions/256,2023/3/29,stackexchange,14
68,en,https://apple.stackexchange.com/questions/258,2023/3/29,stackexchange,2
69,en,https://apple.stackexchange.com/questions/260,2023/3/29,stackexchange,5
70,en,https://apple.stackexchange.com/questions/264,2023/3/29,stackexchange,2
71,en,https://apple.stackexchange.com/questions/265,2023/3/29,stackexchange,7
72,en,https://apple.stackexchange.com/questions/272,2023/3/29,stackexchange,19
73,en,https://apple.stackexchange.com/questions/274,2023/3/29,stackexchange,20
74,en,https://apple.stackexchange.com/questions/277,2023/3/29,stackexchange,6
75,en,https://apple.stackexchange.com/questions/279,2023/3/29,stackexchange,1
76,en,https://apple.stackexchange.com/questions/281,2023/3/29,stackexchange,6
77,en,https://apple.stackexchange.com/questions/286,2023/3/29,stackexchange,8
78,en,https://apple.stackexchange.com/questions/289,2023/3/29,stackexchange,17
79,en,https://apple.stackexchange.com/questions/294,2023/3/29,stackexchange,3
80,en,https://apple.stackexchange.com/questions/302,2023/3/29,stackexchange,4
81,en,https://apple.stackexchange.com/questions/318,2023/3/29,stackexchange,3
82,en,https://apple.stackexchange.com/questions/320,2023/3/29,stackexchange,9
83,en,https://apple.stackexchange.com/questions/326,2023/3/29,stackexchange,17
84,en,https://apple.stackexchange.com/questions/335,2023/3/29,stackexchange,41
85,en,https://apple.stackexchange.com/questions/340,2023/3/29,stackexchange,3
86,en,https://apple.stackexchange.com/questions/345,2023/3/29,stackexchange,11
87,en,https://apple.stackexchange.com/questions/348,2023/3/29,stackexchange,6
88,en,https://apple.stackexchange.com/questions/350,2023/3/29,stackexchange,8
89,en,https://apple.stackexchange.com/questions/357,2023/3/29,stackexchange,7
90,en,https://apple.stackexchange.com/questions/361,2023/3/29,stackexchange,3
91,en,https://apple.stackexchange.com/questions/362,2023/3/29,stackexchange,5
92,en,https://apple.stackexchange.com/questions/364,2023/3/29,stackexchange,12
93,en,https://apple.stackexchange.com/questions/369,2023/3/29,stackexchange,71
94,en,https://apple.stackexchange.com/questions/374,2023/3/29,stackexchange,10
95,en,https://apple.stackexchange.com/questions/377,2023/3/29,stackexchange,18
96,en,https://apple.stackexchange.com/questions/384,2023/3/29,stackexchange,6
97,en,https://apple.stackexchange.com/questions/385,2023/3/29,stackexchange,4
98,en,https://apple.stackexchange.com/questions/388,2023/3/29,stackexchange,14
99,en,https://apple.stackexchange.com/questions/390,2023/3/29,stackexchange,-1
100,en,https://apple.stackexchange.com/questions/391,2023/3/29,stackexchange,2
101,en,https://apple.stackexchange.com/questions/395,2023/3/29,stackexchange,15
102,en,https://apple.stackexchange.com/questions/399,2023/3/29,stackexchange,5
103,en,https://apple.stackexchange.com/questions/400,2023/3/29,stackexchange,604
104,en,https://apple.stackexchange.com/questions/403,2023/3/29,stackexchange,6
105,en,https://apple.stackexchange.com/questions/415,2023/3/29,stackexchange,2
106,en,https://apple.stackexchange.com/questions/419,2023/3/29,stackexchange,3
107,en,https://apple.stackexchange.com/questions/421,2023/3/29,stackexchange,8
108,en,https://apple.stackexchange.com/questions/427,2023/3/29,stackexchange,7
109,en,https://apple.stackexchange.com/questions/435,2023/3/29,stackexchange,1
110,en,https://apple.stackexchange.com/questions/438,2023/3/29,stackexchange,12
111,en,https://apple.stackexchange.com/questions/441,2023/3/29,stackexchange,29
112,en,https://apple.stackexchange.com/questions/447,2023/3/29,stackexchange,15
113,en,https://apple.stackexchange.com/questions/459,2023/3/29,stackexchange,4
114,en,https://apple.stackexchange.com/questions/469,2023/3/29,stackexchange,2
115,en,https://apple.stackexchange.com/questions/470,2023/3/29,stackexchange,40
116,en,https://apple.stackexchange.com/questions/473,2023/3/29,stackexchange,1
117,en,https://apple.stackexchange.com/questions/474,2023/3/29,stackexchange,13
118,en,https://apple.stackexchange.com/questions/476,2023/3/29,stackexchange,4
119,en,https://apple.stackexchange.com/questions/477,2023/3/29,stackexchange,1
120,en,https://apple.stackexchange.com/questions/484,2023/3/29,stackexchange,0
121,en,https://apple.stackexchange.com/questions/486,2023/3/29,stackexchange,14
122,en,https://apple.stackexchange.com/questions/490,2023/3/29,stackexchange,11
123,en,https://apple.stackexchange.com/questions/492,2023/3/29,stackexchange,0
124,en,https://apple.stackexchange.com/questions/502,2023/3/29,stackexchange,3
125,en,https://apple.stackexchange.com/questions/504,2023/3/29,stackexchange,7
126,en,https://apple.stackexchange.com/questions/511,2023/3/29,stackexchange,4
127,en,https://apple.stackexchange.com/questions/514,2023/3/29,stackexchange,3
128,en,https://apple.stackexchange.com/questions/517,2023/3/29,stackexchange,2
129,en,https://apple.stackexchange.com/questions/522,2023/3/29,stackexchange,15
130,en,https://apple.stackexchange.com/questions/525,2023/3/29,stackexchange,14
131,en,https://apple.stackexchange.com/questions/531,2023/3/29,stackexchange,3
132,en,https://apple.stackexchange.com/questions/532,2023/3/29,stackexchange,5
133,en,https://apple.stackexchange.com/questions/533,2023/3/29,stackexchange,7
134,en,https://apple.stackexchange.com/questions/536,2023/3/29,stackexchange,3
135,en,https://apple.stackexchange.com/questions/538,2023/3/29,stackexchange,4
136,en,https://apple.stackexchange.com/questions/542,2023/3/29,stackexchange,6
137,en,https://apple.stackexchange.com/questions/549,2023/3/29,stackexchange,3
138,en,https://apple.stackexchange.com/questions/555,2023/3/29,stackexchange,-4
139,en,https://apple.stackexchange.com/questions/557,2023/3/29,stackexchange,36
140,en,https://apple.stackexchange.com/questions/566,2023/3/29,stackexchange,5
141,en,https://apple.stackexchange.com/questions/567,2023/3/29,stackexchange,9
142,en,https://apple.stackexchange.com/questions/569,2023/3/29,stackexchange,5
143,en,https://apple.stackexchange.com/questions/584,2023/3/29,stackexchange,2
144,en,https://apple.stackexchange.com/questions/585,2023/3/29,stackexchange,3
145,en,https://apple.stackexchange.com/questions/590,2023/3/29,stackexchange,3
146,en,https://apple.stackexchange.com/questions/591,2023/3/29,stackexchange,7
147,en,https://apple.stackexchange.com/questions/592,2023/3/29,stackexchange,3
148,en,https://apple.stackexchange.com/questions/600,2023/3/29,stackexchange,4
149,en,https://apple.stackexchange.com/questions/602,2023/3/29,stackexchange,85
150,en,https://apple.stackexchange.com/questions/611,2023/3/29,stackexchange,18
151,en,https://apple.stackexchange.com/questions/612,2023/3/29,stackexchange,3
152,en,https://apple.stackexchange.com/questions/616,2023/3/29,stackexchange,1
153,en,https://apple.stackexchange.com/questions/621,2023/3/29,stackexchange,3
154,en,https://apple.stackexchange.com/questions/623,2023/3/29,stackexchange,4
155,en,https://apple.stackexchange.com/questions/634,2023/3/29,stackexchange,-1
156,en,https://apple.stackexchange.com/questions/635,2023/3/29,stackexchange,3
157,en,https://apple.stackexchange.com/questions/637,2023/3/29,stackexchange,17
158,en,https://apple.stackexchange.com/questions/639,2023/3/29,stackexchange,14
159,en,https://apple.stackexchange.com/questions/640,2023/3/29,stackexchange,2
160,en,https://apple.stackexchange.com/questions/644,2023/3/29,stackexchange,4
161,en,https://apple.stackexchange.com/questions/645,2023/3/29,stackexchange,1
162,en,https://apple.stackexchange.com/questions/648,2023/3/29,stackexchange,17
163,en,https://apple.stackexchange.com/questions/652,2023/3/29,stackexchange,2
164,en,https://apple.stackexchange.com/questions/656,2023/3/29,stackexchange,3
165,en,https://apple.stackexchange.com/questions/662,2023/3/29,stackexchange,4
166,en,https://apple.stackexchange.com/questions/663,2023/3/29,stackexchange,5
167,en,https://apple.stackexchange.com/questions/675,2023/3/29,stackexchange,6
168,en,https://apple.stackexchange.com/questions/676,2023/3/29,stackexchange,3
169,en,https://apple.stackexchange.com/questions/678,2023/3/29,stackexchange,1
170,en,https://apple.stackexchange.com/questions/681,2023/3/29,stackexchange,1
171,en,https://apple.stackexchange.com/questions/682,2023/3/29,stackexchange,11
172,en,https://apple.stackexchange.com/questions/683,2023/3/29,stackexchange,-1
173,en,https://apple.stackexchange.com/questions/690,2023/3/29,stackexchange,3
174,en,https://apple.stackexchange.com/questions/697,2023/3/29,stackexchange,148
